f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,y
16/11/2018,15,13.2,61,3.9,719,5.8,1.03,0.0,0.0,Autumn,No Holiday,Yes,995
29/06/2018,9,22.9,86,1.7,538,20.4,0.76,0.0,0.0,Summer,No Holiday,Yes,1195
15/11/2018,19,11.2,46,1.4,869,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1448
02/02/2018,23,-2.6,69,2.0,1434,-7.5,0.0,0.0,0.0,Winter,No Holiday,Yes,178
18/07/2018,22,27.2,73,1.5,1005,21.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1980
30/06/2018,0,23.0,84,1.9,375,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1275
03/11/2018,1,8.5,61,0.2,1273,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,0
02/05/2018,5,18.4,87,0.8,209,16.1,0.0,0.4,0.0,Spring,No Holiday,Yes,76
02/06/2018,22,21.4,48,1.6,2000,9.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1969
20/01/2018,22,1.5,48,2.4,422,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,232
13/05/2018,21,14.1,86,0.9,535,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes,1571
24/01/2018,19,-13.8,32,2.2,2000,-26.9,0.0,0.0,0.7,Winter,No Holiday,Yes,211
29/10/2018,2,4.7,81,1.0,1918,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,184
05/09/2018,7,19.8,79,0.9,2000,16.0,0.13,0.0,0.0,Autumn,No Holiday,Yes,1487
31/01/2018,1,-1.6,81,1.1,1141,-4.4,0.0,0.0,3.5,Winter,No Holiday,Yes,96
08/05/2018,21,14.5,49,1.9,2000,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1513
16/05/2018,13,21.8,97,2.4,682,21.2,0.06,35.0,0.0,Spring,No Holiday,Yes,151
11/03/2018,7,2.9,84,1.9,241,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,119
11/02/2018,16,-3.6,36,4.4,2000,-16.5,0.67,0.0,0.0,Winter,No Holiday,Yes,175
22/10/2018,20,14.5,51,1.4,751,4.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1593
13/06/2018,0,19.3,76,1.2,1968,14.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1274
20/05/2018,0,15.8,41,1.2,2000,2.5,0.0,0.0,0.0,Spring,No Holiday,Yes,986
03/02/2018,14,-5.0,31,4.0,2000,-19.5,2.18,0.0,0.0,Winter,No Holiday,Yes,196
24/04/2018,14,16.0,52,1.7,2000,6.1,1.22,0.0,0.0,Spring,No Holiday,Yes,942
08/09/2018,3,17.8,60,0.2,2000,9.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,504
28/11/2018,10,4.4,23,1.6,1201,-14.9,0.7,0.0,0.0,Autumn,No Holiday,Yes,583
29/10/2018,1,5.1,83,1.1,1989,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,326
11/02/2018,11,-5.0,25,3.2,1853,-22.0,1.75,0.0,0.0,Winter,No Holiday,Yes,155
24/08/2018,15,24.0,94,3.1,1188,22.9,0.41,0.5,0.0,Summer,No Holiday,Yes,405
09/11/2018,13,14.0,46,5.3,927,2.5,1.68,0.0,0.0,Autumn,No Holiday,No,0
07/02/2018,18,-4.0,27,2.5,2000,-20.2,0.16,0.0,0.0,Winter,No Holiday,Yes,448
04/12/2017,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,186
16/05/2018,11,22.7,93,4.8,832,21.5,0.17,0.0,0.0,Spring,No Holiday,Yes,243
21/08/2018,21,26.8,72,0.4,1985,21.3,0.0,0.0,0.0,Summer,No Holiday,Yes,2057
03/05/2018,16,12.8,53,3.3,2000,3.4,0.76,0.0,0.0,Spring,No Holiday,Yes,911
19/02/2018,14,5.6,38,1.6,1087,-7.6,1.1,0.0,0.0,Winter,No Holiday,Yes,373
29/06/2018,8,22.2,95,1.6,389,21.3,0.26,0.0,0.0,Summer,No Holiday,Yes,2028
11/09/2018,13,25.7,40,2.2,1997,11.0,2.98,0.0,0.0,Autumn,No Holiday,Yes,1102
18/04/2018,16,18.5,22,2.7,1515,-3.6,2.27,0.0,0.0,Spring,No Holiday,Yes,1346
25/06/2018,23,27.2,55,0.7,920,17.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1437
14/05/2018,0,12.7,89,1.2,340,10.9,0.0,0.0,0.0,Spring,No Holiday,Yes,581
24/06/2018,7,20.5,82,0.8,338,17.3,0.16,0.0,0.0,Summer,No Holiday,Yes,369
17/10/2018,11,15.5,25,2.5,1727,-4.4,2.1,0.0,0.0,Autumn,No Holiday,Yes,961
16/01/2018,22,4.0,57,0.3,430,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,321
22/03/2018,6,0.8,88,1.0,900,-0.9,0.0,0.0,0.0,Spring,No Holiday,Yes,212
20/10/2018,10,13.0,49,0.5,1685,2.5,1.61,0.0,0.0,Autumn,No Holiday,Yes,997
20/01/2018,3,-0.9,65,0.2,1359,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,118
15/08/2018,10,33.5,49,1.0,1937,21.3,2.09,0.0,0.0,Summer,Holiday,Yes,547
13/05/2018,2,14.5,97,2.9,359,14.0,0.0,0.1,0.0,Spring,No Holiday,Yes,189
13/11/2018,20,9.5,44,1.8,1991,-2.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1208
28/11/2018,9,3.0,30,1.3,1242,-12.9,0.3,0.0,0.0,Autumn,No Holiday,Yes,798
10/08/2018,7,26.0,78,0.7,1988,21.8,0.16,0.0,0.0,Summer,No Holiday,Yes,1027
01/03/2018,23,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0,Spring,Holiday,Yes,190
12/12/2017,22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,256
02/12/2017,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,146
18/06/2018,13,29.4,42,1.7,689,15.1,3.1,0.0,0.0,Summer,No Holiday,Yes,938
05/06/2018,2,19.7,66,0.5,1591,13.1,0.0,0.0,0.0,Summer,No Holiday,Yes,448
25/12/2017,6,-4.1,50,3.0,2000,-13.0,0.0,0.0,0.0,Winter,Holiday,Yes,59
12/09/2018,10,22.7,45,1.5,2000,10.1,2.08,0.0,0.0,Autumn,No Holiday,Yes,923
01/07/2018,7,22.1,89,0.5,1617,20.1,0.08,0.5,0.0,Summer,No Holiday,Yes,25
08/12/2017,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,233
01/04/2018,18,17.7,75,2.1,519,13.2,0.12,0.0,0.0,Spring,No Holiday,Yes,1296
18/04/2018,2,8.7,44,1.6,1684,-2.8,0.0,0.0,0.0,Spring,No Holiday,Yes,260
